Gene_length	Strand	Gene_name	Ensembl_gene	Gene_biotype
774	+	AC007899.1	ENSG00000224891	processed_pseudogene
1446	-	AC093871.1	ENSG00000251048	lincRNA
38551	+	C16orf70	ENSG00000125149	protein_coding
12664	+	LINC00608	ENSG00000236445	antisense_RNA
370	-	RPL35P3	ENSG00000219902	processed_pseudogene
103	+	RNU6-516P	ENSG00000223313	snRNA
3365	+	DPH2	ENSG00000132768	protein_coding
33351	+	CTD-2270F17.1	ENSG00000253647	antisense_RNA
96	+	MIR550A1	ENSG00000207771	miRNA
974	+	CDRT15P1	ENSG00000141028	unprocessed_pseudogene
12144	-	AC108479.2	ENSG00000275597	unprocessed_pseudogene
12848	-	KRT79	ENSG00000185640	protein_coding
31706	+	CXorf58	ENSG00000165182	protein_coding
46562	+	AC006369.1	ENSG00000236213	antisense_RNA
26044	+	TTC38	ENSG00000075234	protein_coding
258	-	UBE2V2P4	ENSG00000231849	processed_pseudogene
149377	+	NCK2	ENSG00000071051	protein_coding
47539	-	SFRP1	ENSG00000104332	protein_coding
5196	+	HSF4	ENSG00000102878	protein_coding
163098	-	SESTD1	ENSG00000187231	protein_coding
48370	-	AFG3L2	ENSG00000141385	protein_coding
5983	+	AL591684.1	ENSG00000224919	antisense_RNA
5552	+	AC090283.1	ENSG00000264488	lincRNA
19182	+	NUPL2	ENSG00000136243	protein_coding
106	-	RNU6-796P	ENSG00000212388	snRNA
1830	+	AC004771.2	ENSG00000234203	antisense_RNA
913	-	Z99716.1	ENSG00000224883	antisense_RNA
17170	-	MAD2L2	ENSG00000116670	protein_coding
1512	+	BX470102.1	ENSG00000238279	antisense_RNA
2915	-	AP006623.1	ENSG00000250397	antisense_RNA
15739	+	FCRL6	ENSG00000181036	protein_coding
111	-	Y_RNA	ENSG00000199472	misc_RNA
249388	+	CDYL	ENSG00000153046	protein_coding
2315	-	AF196972.1	ENSG00000224292	antisense_RNA
13310	+	ACKR3	ENSG00000144476	protein_coding
113485	+	STK4	ENSG00000101109	protein_coding
3515	-	INSL5	ENSG00000172410	protein_coding
33594	+	LINC01037	ENSG00000231599	lincRNA
486	-	AC092106.2	ENSG00000224061	processed_pseudogene
64	+	SNORD73A	ENSG00000208797	snoRNA
8099	+	AC008667.2	ENSG00000250692	antisense_RNA
2563	+	MYOD1	ENSG00000129152	protein_coding
248	+	DPH3P1	ENSG00000233838	processed_pseudogene
760	-	AC003687.1	ENSG00000264598	sense_intronic
15278	-	AL445238.1	ENSG00000219926	transcribed_unprocessed_pseudogene
3020	-	AC090503.1	ENSG00000257682	lincRNA
285	-	RN7SL557P	ENSG00000266166	misc_RNA
3105	-	KLHL30-AS1	ENSG00000279484	TEC
8846	+	NARSP2	ENSG00000253789	transcribed_processed_pseudogene
2458	+	C16orf82	ENSG00000234186	protein_coding
126	-	ACA64	ENSG00000238685	snoRNA
402	+	H3F3BP1	ENSG00000236534	processed_pseudogene
8021	-	CT45A7	ENSG00000273696	protein_coding
1744	+	SHC1P1	ENSG00000230889	processed_pseudogene
2077	+	AC009110.1	ENSG00000231589	lincRNA
3797	+	AC079336.5	ENSG00000266718	antisense_RNA
93	-	MIR339	ENSG00000199023	miRNA
3088	-	MRPS24	ENSG00000062582	protein_coding
271	+	HSPE1P5	ENSG00000261395	transcribed_processed_pseudogene
1547	+	AL358913.2	ENSG00000258894	processed_pseudogene
1418	+	LINC00167	ENSG00000233220	lincRNA
402	+	AC018638.2	ENSG00000230715	processed_pseudogene
12464	-	FLNC-AS1	ENSG00000242902	antisense_RNA
7551	-	TRIM77BP	ENSG00000254993	unprocessed_pseudogene
15078	+	AL121790.1	ENSG00000258414	lincRNA
119	-	MIR1284	ENSG00000221264	miRNA
1560	-	AC008677.1	ENSG00000213414	processed_pseudogene
2392	+	C6orf47-AS1	ENSG00000227198	antisense_RNA
58746	+	FUBP3	ENSG00000107164	protein_coding
1052	+	CCRL1P1	ENSG00000225415	processed_pseudogene
50634	-	TMEM71	ENSG00000165071	protein_coding
102	+	RNU6-978P	ENSG00000201241	snRNA
82068	+	TMEM38B	ENSG00000095209	protein_coding
92051	+	URI1	ENSG00000105176	protein_coding
2672	-	AC007952.6	ENSG00000262319	antisense_RNA
16624	-	AC012370.2	ENSG00000234255	lincRNA
523	-	AL121873.1	ENSG00000274022	processed_pseudogene
133368	-	LINC00393	ENSG00000224853	lincRNA
1083	+	SETP15	ENSG00000226536	processed_pseudogene
965	-	OR51G1	ENSG00000278870	polymorphic_pseudogene
88216	-	EXPH5	ENSG00000110723	protein_coding
67302	-	ADAM17	ENSG00000151694	protein_coding
642	-	RPL10AP1	ENSG00000244691	processed_pseudogene
136	+	SNORA2	ENSG00000199959	snoRNA
818	-	C1GALT1P3	ENSG00000253544	processed_pseudogene
4375	+	CATSPERZ	ENSG00000219435	protein_coding
60802	+	ARHGEF17	ENSG00000110237	protein_coding
5268	+	LINC01150	ENSG00000229671	lincRNA
1557	+	AC012588.1	ENSG00000263677	lincRNA
2631	+	AC008268.1	ENSG00000235584	lincRNA
13724	+	FAM86C1	ENSG00000158483	protein_coding
561	+	AC023824.3	ENSG00000260724	processed_pseudogene
279	+	RBM22P7	ENSG00000223395	processed_pseudogene
41854	+	KIF26A	ENSG00000066735	protein_coding
329662	+	UST	ENSG00000111962	protein_coding
3065	+	GSTP1	ENSG00000084207	protein_coding
5797	-	AL162391.1	ENSG00000228392	lincRNA
112	-	RNU4-71P	ENSG00000252067	snRNA
220682	-	ME1	ENSG00000065833	protein_coding
28854	+	AC026333.3	ENSG00000256249	lincRNA
458	-	RPL23AP15	ENSG00000230841	processed_pseudogene
280878	-	MLLT3	ENSG00000171843	protein_coding
1017	+	AC090922.1	ENSG00000272486	antisense_RNA
579	+	AC023813.4	ENSG00000272545	lincRNA
108	+	RNU4ATAC8P	ENSG00000252005	snRNA
681	+	AL121583.1	ENSG00000277692	lincRNA
1246	+	HNRNPA1P52	ENSG00000269119	processed_pseudogene
956	-	SETP22	ENSG00000213701	processed_pseudogene
106	-	RNU6-500P	ENSG00000199219	snRNA
206003	-	ZPBP	ENSG00000042813	protein_coding
2675	+	AC124893.1	ENSG00000241882	lincRNA
82794	+	FRMPD3	ENSG00000147234	protein_coding
46034	+	SLC3A1	ENSG00000138079	protein_coding
33172	+	TMEM91	ENSG00000142046	protein_coding
3665	+	PPP1R15A	ENSG00000087074	protein_coding
417	+	AC015726.3	ENSG00000279251	TEC
5489	-	AL451061.1	ENSG00000219622	processed_pseudogene
37556	-	AL137220.1	ENSG00000225775	lincRNA
17879	+	AL133284.1	ENSG00000230894	antisense_RNA
41979	-	RFT1	ENSG00000163933	protein_coding
1153	-	AC080038.1	ENSG00000274565	antisense_RNA
345	+	CR769767.1	ENSG00000232798	processed_pseudogene
266306	-	ANAPC10	ENSG00000164162	protein_coding
227	+	COX6CP6	ENSG00000240156	processed_pseudogene
34708	+	LGALS8	ENSG00000116977	protein_coding
579	-	ELK1P1	ENSG00000234359	processed_pseudogene
1441	+	AC104071.1	ENSG00000251434	lincRNA
21161	+	CKAP2	ENSG00000136108	protein_coding
125	+	SNORA28	ENSG00000272533	snoRNA
34484	-	CAPSL	ENSG00000152611	protein_coding
50	+	TRDJ1	ENSG00000211825	TR_J_gene
47042	-	YWHAQ	ENSG00000134308	protein_coding
14865	+	SLC11A1	ENSG00000018280	protein_coding
615	-	AL049734.2	ENSG00000230973	processed_pseudogene
1592	-	SORCS3-AS1	ENSG00000226387	antisense_RNA
109	+	RNA5SP407	ENSG00000222207	rRNA
158431	-	AC005726.2	ENSG00000258472	protein_coding
1126	+	AC005726.5	ENSG00000265168	antisense_RNA
11062	+	NKIRAS2	ENSG00000168256	protein_coding
61002	+	DYNC1I2	ENSG00000077380	protein_coding
13154	+	ROCK1P1	ENSG00000263006	transcribed_unprocessed_pseudogene
581	-	AC010331.1	ENSG00000277383	antisense_RNA
894	-	AC139453.1	ENSG00000230655	unprocessed_pseudogene
46243	-	METTL6	ENSG00000206562	protein_coding
148837	+	CORO2B	ENSG00000103647	protein_coding
444	+	AC009088.3	ENSG00000261385	antisense_RNA
220	+	RN7SL319P	ENSG00000241807	misc_RNA
53106	-	AC093725.2	ENSG00000250333	lincRNA
978	+	AC017083.2	ENSG00000273064	antisense_RNA
11917	+	AC004063.1	ENSG00000250670	lincRNA
1177	-	AL358942.1	ENSG00000225580	processed_pseudogene
752	+	AC137894.1	ENSG00000254739	antisense_RNA
85	+	MIR1185-2	ENSG00000221614	miRNA
24642	+	AC099508.2	ENSG00000261058	lincRNA
461	+	EIF5AP3	ENSG00000267346	processed_pseudogene
30116	+	ZNF549	ENSG00000121406	protein_coding
175	-	SNX3P1Y	ENSG00000278585	processed_pseudogene
54415	+	KCTD3	ENSG00000136636	protein_coding
1090	-	AC009090.2	ENSG00000260148	antisense_RNA
305867	-	CUBN	ENSG00000107611	protein_coding
57	+	TRAJ36	ENSG00000276699	TR_J_gene
90	+	MIR412	ENSG00000199012	miRNA
49	+	MIR320C2	ENSG00000212051	miRNA
7229	+	TMEM69	ENSG00000159596	protein_coding
9400	-	MST1L	ENSG00000186715	transcribed_unprocessed_pseudogene
11911	-	SSR2	ENSG00000163479	protein_coding
21868	+	AL683807.1	ENSG00000223511	lincRNA
2403	+	GUCA2B	ENSG00000044012	protein_coding
31181	+	ZNF71	ENSG00000197951	protein_coding
11516	-	HOXA9	ENSG00000078399	protein_coding
326	+	CISD1P1	ENSG00000213403	processed_pseudogene
64	+	MIR5591	ENSG00000264621	miRNA
76	-	MIR8067	ENSG00000277919	miRNA
12967	+	PLD4	ENSG00000166428	protein_coding
1012	+	AL139280.1	ENSG00000227338	lincRNA
127	-	MIR1302-8	ENSG00000221269	miRNA
9949	-	RTBDN	ENSG00000132026	protein_coding
65	-	MIR4264	ENSG00000266436	miRNA
6441	-	HLA-DMB	ENSG00000242574	protein_coding
36417	-	PON3	ENSG00000105852	protein_coding
56767	-	WNT7B	ENSG00000188064	protein_coding
3130	+	AL353625.1	ENSG00000213073	transcribed_processed_pseudogene
44213	-	AC009630.1	ENSG00000253133	antisense_RNA
409	-	AL356274.1	ENSG00000274549	unprocessed_pseudogene
903	-	OR11K1P	ENSG00000259324	unprocessed_pseudogene
123356	-	AC090912.2	ENSG00000266850	antisense_RNA
357	+	COX20P2	ENSG00000235013	processed_pseudogene
607	-	AC103739.1	ENSG00000259212	antisense_RNA
3054	-	AL079301.1	ENSG00000230922	sense_intronic
125	+	RNU6ATAC38P	ENSG00000221046	snRNA
208012	+	SRGAP2C	ENSG00000171943	protein_coding
959	+	OR13F1	ENSG00000186881	protein_coding
497	-	RPS7P13	ENSG00000235425	processed_pseudogene
682	+	CERNA3	ENSG00000253603	antisense_RNA
289	-	RN7SL545P	ENSG00000274568	misc_RNA
878	+	RPL5P32	ENSG00000228992	processed_pseudogene
811	-	NPM1P4	ENSG00000226703	processed_pseudogene
29029	+	MAGEA11	ENSG00000185247	protein_coding
702	-	SPRY4-IT1	ENSG00000281881	lincRNA
363301	+	AC007161.3	ENSG00000283549	processed_transcript
2691	-	AL355097.1	ENSG00000258379	lincRNA
1853	+	AL118508.3	ENSG00000279164	TEC
127	-	SNORA71	ENSG00000277034	snoRNA
303	+	IGKV2OR2-7	ENSG00000270450	IG_V_pseudogene
110	-	Y_RNA	ENSG00000199540	misc_RNA
4204	-	CD164L2	ENSG00000174950	protein_coding
58773	-	FAM212B	ENSG00000197852	protein_coding
866	+	NPM1P39	ENSG00000225159	processed_pseudogene
201926	-	SLC25A13	ENSG00000004864	protein_coding
14390	-	FOXP3	ENSG00000049768	protein_coding
106	+	RNU6-1239P	ENSG00000212612	snRNA
188	-	SNORA73	ENSG00000222145	snoRNA
330124	-	MGC4859	ENSG00000283117	lincRNA
73535	-	AKAP10	ENSG00000108599	protein_coding
432	-	AC004449.1	ENSG00000261204	lincRNA
2925	+	AF064860.2	ENSG00000231713	lincRNA
1184	+	UBE2NL	ENSG00000276380	polymorphic_pseudogene
1116	+	AC091180.3	ENSG00000250186	antisense_RNA
155	-	AC104332.2	ENSG00000234202	processed_pseudogene
12159	-	AC129492.3	ENSG00000263620	protein_coding
149937	-	KIAA1549	ENSG00000122778	protein_coding
318714	+	AL050403.2	ENSG00000270792	antisense_RNA
1164	+	AP000357.1	ENSG00000224334	processed_pseudogene
1209	-	EIF4A1P6	ENSG00000236608	processed_pseudogene
482	+	MTND6P11	ENSG00000226839	processed_pseudogene
100	-	RNU6-888P	ENSG00000199880	snRNA
454	+	AC125494.3	ENSG00000270068	antisense_RNA
871	+	DCAF13P2	ENSG00000250816	processed_pseudogene
7543	-	AC006557.2	ENSG00000267324	processed_pseudogene
303	-	IGKV2OR2-7D	ENSG00000271015	IG_V_pseudogene
3771	-	AP003122.4	ENSG00000255486	unprocessed_pseudogene
8996	+	FOXRED1	ENSG00000110074	protein_coding
59	-	RNU7-53P	ENSG00000252514	snRNA
22474	+	ERLIN2	ENSG00000147475	protein_coding
2378	-	CICP9	ENSG00000228882	processed_pseudogene
194	-	AL158032.2	ENSG00000277077	unprocessed_pseudogene
309	+	HMGN1P2	ENSG00000229046	processed_pseudogene
12835	-	DMPK	ENSG00000104936	protein_coding
641	+	AC024361.1	ENSG00000262410	sense_intronic
18530	-	TRPM5	ENSG00000070985	protein_coding
219760	+	CSRNP3	ENSG00000178662	protein_coding
443	-	OSTCP2	ENSG00000225294	processed_pseudogene
8239	+	LRWD1	ENSG00000161036	protein_coding
81152	+	NAA35	ENSG00000135040	protein_coding
8	+	TRDD2	ENSG00000237235	TR_D_gene
161	+	AL117328.1	ENSG00000229409	processed_pseudogene
6968	+	ENO3	ENSG00000108515	protein_coding
21548	-	IFT46	ENSG00000118096	protein_coding
59	-	IGHJ2P	ENSG00000237547	IG_J_pseudogene
43840	-	AL049869.2	ENSG00000259076	antisense_RNA
54983	+	GDPD1	ENSG00000153982	protein_coding
3929	-	RFNG	ENSG00000169733	protein_coding
370	+	AC073592.9	ENSG00000280354	TEC
295	+	AC068137.4	ENSG00000284171	unprocessed_pseudogene
115535	+	KLHL2	ENSG00000109466	protein_coding
1186	-	DNAJA1P1	ENSG00000223717	processed_pseudogene
1863	+	AC097372.2	ENSG00000251010	antisense_RNA
1077	+	EI24P4	ENSG00000236343	processed_pseudogene
3040	+	AC007861.2	ENSG00000263110	lincRNA
3042	+	AC126773.4	ENSG00000275383	lincRNA
336	-	ELOCP18	ENSG00000237622	processed_pseudogene
4649	+	LINC01857	ENSG00000224137	lincRNA
330	+	AC079594.1	ENSG00000243687	processed_pseudogene
1044	-	GEMIN2P1	ENSG00000235015	processed_pseudogene
32649	+	NGDN	ENSG00000129460	protein_coding
530	-	MTCO1P52	ENSG00000229760	processed_pseudogene
7719	-	AC009063.3	ENSG00000261103	antisense_RNA
6367	-	C17orf98	ENSG00000275489	protein_coding
18356	-	TOMM34	ENSG00000025772	protein_coding
1570	-	AC011509.1	ENSG00000267406	lincRNA
3324	+	RPS11	ENSG00000142534	protein_coding
333	-	RN7SKP30	ENSG00000223305	misc_RNA
1397	+	SHANK2-AS2	ENSG00000236262	antisense_RNA
5608	-	POLR2J4	ENSG00000272655	transcribed_unprocessed_pseudogene
101	-	Y_RNA	ENSG00000238723	misc_RNA
29404	+	LINC01919	ENSG00000263438	lincRNA
6213	-	CCDC163	ENSG00000280670	protein_coding
52228	-	ADAMTS7	ENSG00000136378	protein_coding
1155	-	RBMS1P1	ENSG00000225422	processed_pseudogene
46269	-	PLAC8	ENSG00000145287	protein_coding
2197	-	AC005229.4	ENSG00000273314	antisense_RNA
757	-	AC021483.2	ENSG00000261229	lincRNA
19817	-	TADA1	ENSG00000152382	protein_coding
329	-	AL355353.1	ENSG00000270761	lincRNA
644	+	AC009283.1	ENSG00000273576	lincRNA
1109	+	AL160163.1	ENSG00000227516	lincRNA
7672	-	AL035634.1	ENSG00000236324	antisense_RNA
100664	+	HELLS	ENSG00000119969	protein_coding
31564	-	AC109454.3	ENSG00000250564	lincRNA
179	+	DLX6-AS1_1	ENSG00000274409	misc_RNA
126	-	AL606490.4	ENSG00000231489	processed_pseudogene
89	-	MIR4325	ENSG00000266666	miRNA
136	-	AC069157.1	ENSG00000223897	processed_pseudogene
103	+	snoU13	ENSG00000238724	snoRNA
103	-	Y_RNA	ENSG00000201563	misc_RNA
8029	-	AP000350.7	ENSG00000279467	antisense_RNA
849	-	RPL29P25	ENSG00000241286	processed_pseudogene
1037	-	AP002754.2	ENSG00000255947	lincRNA
398554	+	DTNA	ENSG00000134769	protein_coding
47727	-	NEK9	ENSG00000119638	protein_coding
1479	-	ATOH7	ENSG00000179774	protein_coding
447	+	U62317.4	ENSG00000272940	lincRNA
1078	-	AC008759.1	ENSG00000267490	unprocessed_pseudogene
21287	-	AL050338.1	ENSG00000225148	lincRNA
26383	-	AC105760.2	ENSG00000227252	antisense_RNA
422	+	AC233279.1	ENSG00000235916	processed_pseudogene
1142	-	GJA1P1	ENSG00000176857	processed_pseudogene
4247	+	AP003397.1	ENSG00000254588	antisense_RNA
1926	+	HSPA7	ENSG00000225217	unprocessed_pseudogene
6668	+	LINC02278	ENSG00000251635	lincRNA
51022	-	SLC9A3	ENSG00000066230	protein_coding
199	-	AC091932.4	ENSG00000280438	TEC
475	-	BTF3L4P3	ENSG00000213108	processed_pseudogene
8753	-	RND1	ENSG00000172602	protein_coding
1350	-	PAN3-AS1	ENSG00000261485	antisense_RNA
72	+	DLEU2_3	ENSG00000274878	misc_RNA
427	+	AL513302.1	ENSG00000237409	processed_pseudogene
1003	+	AL354977.2	ENSG00000237359	lincRNA
8071	-	AC012236.1	ENSG00000259772	lincRNA
12245	+	CHRNB2	ENSG00000160716	protein_coding
337	+	RN7SKP141	ENSG00000251976	misc_RNA
32237	-	YWHAG	ENSG00000170027	protein_coding
81680	-	HS6ST1	ENSG00000136720	protein_coding
82350	-	MINDY3	ENSG00000148481	protein_coding
23454	+	MVK	ENSG00000110921	protein_coding
205647	-	HIP1	ENSG00000127946	protein_coding
195	+	KCNQ1OT1_2	ENSG00000276105	misc_RNA
177	+	AL138895.2	ENSG00000271214	processed_pseudogene
13911	+	TRIM8	ENSG00000171206	protein_coding
59	-	MIR4539	ENSG00000265612	miRNA
1786	+	AC009506.1	ENSG00000224152	antisense_RNA
281980	+	VPS13D	ENSG00000048707	protein_coding
5752	+	ISL2	ENSG00000159556	protein_coding
76	-	MIR5687	ENSG00000265135	miRNA
4255	+	AC018878.1	ENSG00000233339	antisense_RNA
1851	-	TMEM249	ENSG00000261587	protein_coding
346	+	AC025518.1	ENSG00000244604	processed_pseudogene
236149	+	ANTXR1	ENSG00000169604	protein_coding
436854	+	AC012560.1	ENSG00000282863	lincRNA
11711	+	Z99289.1	ENSG00000237234	antisense_RNA
51168	-	NBPF1	ENSG00000219481	protein_coding
675	-	MTCO3P40	ENSG00000228046	processed_pseudogene
85	-	MIR1468	ENSG00000222532	miRNA
2136	-	AC010503.3	ENSG00000268742	processed_pseudogene
3299	-	AC133561.2	ENSG00000205452	lincRNA
2857	-	JMJD8	ENSG00000161999	protein_coding
350	+	AL138752.1	ENSG00000232454	processed_pseudogene
9560	+	AC114284.1	ENSG00000248927	lincRNA
147642	-	TAB3	ENSG00000157625	protein_coding
516	+	CCDC34P1	ENSG00000250556	processed_pseudogene
47458	-	PDE4C	ENSG00000105650	protein_coding
2815	-	AC091059.1	ENSG00000266002	antisense_RNA
602	+	HMGB1P27	ENSG00000230611	processed_pseudogene
89	+	pRNA	ENSG00000275664	misc_RNA
2291	+	AC019254.1	ENSG00000259182	lincRNA
48118	-	FLT4	ENSG00000037280	protein_coding
560	-	BX322562.1	ENSG00000273796	lincRNA
102	-	Y_RNA	ENSG00000206790	misc_RNA
979	+	AC025280.1	ENSG00000260859	sense_intronic
147800	+	DYRK1A	ENSG00000157540	protein_coding
6129	+	AC010280.3	ENSG00000249588	lincRNA
32034	-	FP700111.2	ENSG00000273825	unprocessed_pseudogene
983	+	AC022413.1	ENSG00000280161	TEC
881	+	AC004870.1	ENSG00000214754	processed_pseudogene
41208	+	NBR1	ENSG00000188554	protein_coding
942	-	AL512785.1	ENSG00000227094	antisense_RNA
6914	-	AC140481.2	ENSG00000232408	antisense_RNA
1014	-	OR7E136P	ENSG00000205897	unprocessed_pseudogene
5050	-	FOXA1	ENSG00000129514	protein_coding
264	+	RN7SL417P	ENSG00000244056	misc_RNA
6846	-	AC139099.1	ENSG00000262094	lincRNA
477	-	AC010409.2	ENSG00000250895	processed_pseudogene
35389	+	FNTA	ENSG00000168522	protein_coding
74365	+	LINC02238	ENSG00000223479	lincRNA
44419	+	RBM44	ENSG00000177483	protein_coding
19481	+	CASP2	ENSG00000106144	protein_coding
434	+	AC090058.1	ENSG00000244266	processed_pseudogene
3659	+	AP003680.1	ENSG00000268635	antisense_RNA
129	+	IGLVI-20	ENSG00000254240	IG_V_pseudogene
54594	+	FAM151B	ENSG00000152380	protein_coding
7446	-	LRRC75B	ENSG00000178026	protein_coding
299	-	RN7SL2	ENSG00000274012	misc_RNA
293	+	RN7SL383P	ENSG00000263556	misc_RNA
74537	-	AC244669.1	ENSG00000223804	transcribed_unprocessed_pseudogene
5225	+	TUBB	ENSG00000196230	protein_coding
2157	+	PKP4P1	ENSG00000229670	unprocessed_pseudogene
76	-	SNORD45	ENSG00000200051	snoRNA
3099	-	ZNF402P	ENSG00000220248	processed_pseudogene
1288	-	RBBP4P4	ENSG00000214561	processed_pseudogene
19403	+	ZNF613	ENSG00000176024	protein_coding
59	+	TRAJ50	ENSG00000211839	TR_J_gene
315	+	RPL36AP53	ENSG00000224664	processed_pseudogene
1123	-	ACTBP7	ENSG00000185607	processed_pseudogene
80	+	MIR4477B	ENSG00000266017	miRNA
108	-	RNA5SP118	ENSG00000222317	rRNA
20703	+	WNT8B	ENSG00000075290	protein_coding
1279	-	AC104423.1	ENSG00000267628	antisense_RNA
145	+	AC104640.2	ENSG00000271413	processed_pseudogene
3227	+	AC073323.1	ENSG00000232524	antisense_RNA
33397	-	AC245123.1	ENSG00000277526	lincRNA
463	-	AC084871.2	ENSG00000251147	processed_pseudogene
1079	-	AC145543.1	ENSG00000233866	lincRNA
897	-	A2ML1-AS2	ENSG00000256904	antisense_RNA
116541	-	ARHGEF6	ENSG00000129675	protein_coding
190	-	U2	ENSG00000276596	snRNA
125	+	RNU4ATAC9P	ENSG00000252955	snRNA
802	-	AL136131.1	ENSG00000218107	processed_pseudogene
108	+	Y_RNA	ENSG00000201114	misc_RNA
1387	+	AL357556.1	ENSG00000230026	processed_pseudogene
648	-	AC109454.4	ENSG00000279469	TEC
9443	-	OR5A2	ENSG00000172324	protein_coding
1116	-	ILF2P2	ENSG00000257720	processed_pseudogene
806	+	DOCK9-AS2	ENSG00000260992	antisense_RNA
7274	+	SLC22A7	ENSG00000137204	protein_coding
372019	+	GRIA4	ENSG00000152578	protein_coding
576	+	AC089999.3	ENSG00000277566	sense_intronic
564	+	AC245297.2	ENSG00000272755	lincRNA
441	-	AC018639.1	ENSG00000242162	processed_pseudogene
67	-	MIR6734	ENSG00000283836	miRNA
48270	+	AL391704.1	ENSG00000224750	lincRNA
27357	+	AL136501.1	ENSG00000259077	lincRNA
2678	-	LINC01077	ENSG00000233456	lincRNA
70	-	MIR4316	ENSG00000264060	miRNA
567	+	HMGB1P23	ENSG00000253770	processed_pseudogene
13571	+	AC108159.1	ENSG00000251523	antisense_RNA
664	+	AL445435.1	ENSG00000270585	processed_pseudogene
177	+	RNU2-41P	ENSG00000222923	snRNA
3562	-	AL929601.3	ENSG00000275563	antisense_RNA
133	-	SNORA51	ENSG00000207177	snoRNA
2854	-	FAM170B	ENSG00000172538	protein_coding
49629	-	AC016987.1	ENSG00000259620	antisense_RNA
5557	+	AC023906.3	ENSG00000259327	lincRNA
120863	+	RASSF8	ENSG00000123094	protein_coding
300	-	RN7SKP237	ENSG00000201533	misc_RNA
1618	+	AC079298.1	ENSG00000278981	antisense_RNA
7701	-	MCIDAS	ENSG00000234602	protein_coding
140	+	RPS29P28	ENSG00000232069	processed_pseudogene
506	+	TRBV23-1	ENSG00000211749	TR_V_gene
5971	-	TRIM52	ENSG00000183718	protein_coding
234	+	AC104389.3	ENSG00000236248	processed_pseudogene
3248	+	OR10AB1P	ENSG00000176716	transcribed_unprocessed_pseudogene
38101	-	YIPF1	ENSG00000058799	protein_coding
61758	-	IFT57	ENSG00000114446	protein_coding
1224	-	AC067904.1	ENSG00000215288	processed_pseudogene
569	+	AL122008.2	ENSG00000232166	processed_pseudogene
146267	+	ATM	ENSG00000149311	protein_coding
3094	-	RBMX2P2	ENSG00000213423	processed_pseudogene
1700	+	AC007595.1	ENSG00000263279	antisense_RNA
72785	-	ZNF652	ENSG00000198740	protein_coding
1245	-	AL390728.6	ENSG00000259865	lincRNA
2397	-	AC126335.1	ENSG00000260986	lincRNA
28148	-	DHX33	ENSG00000005100	protein_coding
17459	+	CELA2B	ENSG00000215704	protein_coding
1231	-	AL356488.1	ENSG00000251484	processed_pseudogene
1237	+	AL356000.1	ENSG00000236680	processed_pseudogene
14997	-	LINC01222	ENSG00000233410	lincRNA
86630	-	HDLBP	ENSG00000115677	protein_coding
62089	-	AC006001.3	ENSG00000229180	transcribed_unprocessed_pseudogene
109877	-	CES5A	ENSG00000159398	protein_coding
111695	+	IQSEC3	ENSG00000120645	protein_coding
6689	-	LAMTOR5	ENSG00000134248	protein_coding
37867	-	ANKS3	ENSG00000168096	protein_coding
908	+	YBX1P3	ENSG00000240002	processed_pseudogene
549	-	AC023141.2	ENSG00000224484	unprocessed_pseudogene
24303	+	TSPAN4	ENSG00000214063	protein_coding
4312	+	AC010615.1	ENSG00000213976	unprocessed_pseudogene
1081	+	WDR45P1	ENSG00000248208	processed_pseudogene
1487	-	FTOP1	ENSG00000226491	processed_pseudogene
849	+	RPSAP27	ENSG00000233869	processed_pseudogene
249	+	IGLVIV-59	ENSG00000254308	IG_V_pseudogene
2492	+	AC112255.1	ENSG00000279024	TEC
1080	-	RBM43P1	ENSG00000239263	processed_pseudogene
116537	+	MMP2	ENSG00000087245	protein_coding
20912	+	AC019294.2	ENSG00000260288	processed_transcript
18887	-	AC113391.1	ENSG00000248484	lincRNA
12808	-	C10orf55	ENSG00000222047	protein_coding
2520	-	KARSP3	ENSG00000262962	unprocessed_pseudogene
269	-	SCARNA12	ENSG00000238795	snoRNA
9774	+	ZNF646	ENSG00000167395	protein_coding
2824	-	AC000077.1	ENSG00000230485	processed_pseudogene
328	+	RN7SKP62	ENSG00000207269	misc_RNA
295	+	RN7SL566P	ENSG00000241983	misc_RNA
14417	-	AL138767.2	ENSG00000223761	lincRNA
25622	-	AL122035.1	ENSG00000258824	antisense_RNA
410	-	AL139353.3	ENSG00000283016	processed_pseudogene
1221	+	AL133551.1	ENSG00000272892	lincRNA
11278	+	NR2F1	ENSG00000175745	protein_coding
278418	+	ADAMTS19	ENSG00000145808	protein_coding
111	-	Y_RNA	ENSG00000200325	misc_RNA
660	-	AP003102.1	ENSG00000254482	processed_pseudogene
112	-	RNA5SP293	ENSG00000222459	rRNA
10245	-	MMP7	ENSG00000137673	protein_coding
21002	-	TNNI1	ENSG00000159173	protein_coding
2614	+	AC083805.3	ENSG00000273805	antisense_RNA
849	+	HLA-DQB1-AS1	ENSG00000223534	antisense_RNA
62	+	RNU7-45P	ENSG00000238829	snRNA
832	-	AL024493.1	ENSG00000230956	processed_pseudogene
19532	-	LINC01137	ENSG00000233621	antisense_RNA
27352	-	LBR	ENSG00000143815	protein_coding
13456	+	SERTAD4	ENSG00000082497	protein_coding
735	+	BDH2P1	ENSG00000232699	processed_pseudogene
347	+	AC090543.2	ENSG00000243403	processed_pseudogene
3641	+	TNFRSF12A	ENSG00000006327	protein_coding
